Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Argue,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Defend,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Substantiate,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Cite,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Refute,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Advocate,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Debate,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Warrant,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Claim,Argue / Defend,External,Independent or interactive,Hypothetical / Simulated or real world,Structured debate / Moot court,"Case-based decision memo, Primary-source/document-based assessment, Oral exam / Viva",Decided by program,Evidence-based argument / Debate brief,"Oral defense, Argument map, Source analysis packet",Decided by program
Diagnose,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Troubleshoot,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Debug,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Triage,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Isolate,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Inspect,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Repair,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Configure,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Remediate,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Correct,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Refactor,Troubleshoot / Diagnose,External,Independent,Hypothetical / Simulated or real world,Diagnostic scenario / Simulation,"Code walkthrough / Interview, Lab practicum, OSCE / Standardized client station",No choice,Troubleshooting report / Diagnosis note,"Observation checklist, Code repository, Oral defense",Decided by program
Self-assess,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Revise,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Rehearse,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Track,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Set goals,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Seek feedback,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Improve,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Rework,Self-Regulate / Revise,External,Independent,Real world,Process-product portfolio assessment,"Peer review / Calibration, Design critique / Studio review, Real world project",Always,Process log / Revision memo,"Portfolio reflection, Prototype iteration history",Always
Coordinate,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Co-create,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Co-author,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Mediate,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Facilitate,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Mentor,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Consult,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Delegate,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Contribute,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Integrate,Collaborate / Coordinate,External,Interactive,Real world or simulated,Team project with individual accountability,"Role Play, Simulation, Peer review / Calibration",Decided by program,Team process evidence,"Peer evaluation, Meeting artifacts, Contribution statement",Decided by program
Weigh,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Mitigate,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Disclose,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Safeguard,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Comply,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Consent,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Escalate,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
Adhere,Ethical / Professional Judgment,External,Independent or interactive,Real world or simulated,Ethical dilemma / Professional judgment case,"OSCE / Standardized client station, Case-based decision memo, Simulation",No choice,Decision memo / Ethical rationale,"Oral defense, Client communication artifact, Care plan",Decided by program
