Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Communicate (Written),Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Compare,"Know / Understand,Explain","Internal,External","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Real world demonstration,Real world project,Design project,Real world demonstration,Real world project,Design project","Decided by program,No choice","*None: Must be paired with External Behavior*,Answer questions","Report,Presentation,Artifact","N/A,Always"
Conduct,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Construct,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Create,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Decide,Decide / Select,External,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",No choice,Answer questions,"Report,Proposal / Prototype,Observation,Presentation,Artifact",Decided by Program
Define,"Explain,Decide / Select","External,External","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Real world demonstration,Real world project,Design project,Simulation,Real world project,Real world demonstration,Design project","No choice,No choice","Answer questions,Answer questions","Report,Presentation,Artifact,Report,Proposal / Prototype,Observation,Presentation,Artifact","Always,Decided by Program"
Deliver,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Demonstrate,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Deploy,Implement,External,Interactive,Real world,Real world demonstration,"Simulation,Real world demonstration",No choice,Report,"Portfolio,Observation,Presentation",Decided by Program
Describe,Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Design,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Determine,"Know / Understand,Think Critically (Prospective)","Internal,Internal","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Real world demonstration,Real world project,Design project,Simulation,Real world project,Real world demonstration,Design project","Decided by program,Decided by program","*None: Must be paired with External Behavior*,*None: Must be paired with External Behavior*",,"N/A,N/A"
